Timestamp,Sample,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z
141250,113,-0.017090,0.056519,-1.000244,0.099182,-0.030518,0.114441
142500,114,-0.017700,0.056030,-1.004211,0.175476,0.137329,0.000000
143750,115,-0.012817,0.058594,-1.001038,0.091553,0.160217,-0.106812
145000,116,-0.015076,0.058289,-0.997620,0.030518,0.267029,0.022888
146250,117,-0.013550,0.053711,-1.002258,0.076294,0.129700,-0.091553
147500,118,-0.012268,0.053406,-1.001953,0.045776,0.259399,0.038147
148750,119,-0.013672,0.055603,-0.997986,0.114441,0.213623,0.045776
150000,120,-0.014954,0.057312,-0.997375,0.106812,0.228882,-0.221252
151250,121,-0.014343,0.058105,-0.998718,0.251770,0.259399,-0.099182
152500,122,-0.014526,0.058350,-0.998596,0.076294,0.160217,-0.091553
153750,123,-0.015686,0.059448,-0.995056,0.106812,0.045776,0.038147
155000,124,-0.015259,0.057373,-0.997925,0.259399,0.091553,-0.045776
156250,125,-0.016968,0.060364,-0.995605,0.091553,0.045776,-0.183105
157500,126,-0.012146,0.057190,-0.998169,0.068665,0.099182,-0.076294
158750,127,-0.015442,0.057861,-1.001282,0.106812,0.114441,0.228882
160000,128,-0.018250,0.058838,-0.998413,-0.068665,0.053406,-0.122070
161250,129,-0.019165,0.055908,-0.998291,0.007629,0.099182,0.022888
162500,130,-0.016785,0.057007,-0.998291,0.137329,0.030518,0.106812
163750,131,-0.016052,0.058289,-1.000000,0.114441,-0.083923,-0.030518
165000,132,-0.019226,0.059021,-0.998840,0.038147,0.205994,-0.091553
166250,133,-0.016479,0.056946,-1.003052,0.015259,0.320435,-0.129700
167500,134,-0.017517,0.058899,-1.000305,0.061035,0.061035,0.091553
168750,135,-0.012817,0.058411,-0.999756,-0.160217,0.198364,0.022888
170000,136,-0.016052,0.058655,-0.997131,0.091553,0.167847,0.221252
171250,137,-0.011414,0.059143,-0.999634,0.068665,0.160217,0.198364
172500,138,-0.018250,0.057129,-1.001648,0.213623,-0.114441,0.076294
173750,139,-0.015015,0.060425,-1.004395,0.198364,0.045776,0.007629
175000,140,-0.012817,0.055847,-1.000000,0.228882,-0.053406,0.099182
176250,141,-0.014343,0.060181,-0.996582,0.022888,0.251770,0.007629
177500,142,-0.016602,0.057434,-0.999329,-0.175476,0.129700,0.015259
178750,143,-0.016357,0.056213,-0.998108,0.015259,0.022888,0.366211
180000,144,-0.016541,0.061401,-0.996887,0.068665,0.244141,-0.114441
181250,145,-0.014893,0.059998,-1.005676,0.045776,0.213623,0.022888
182500,146,-0.015991,0.057312,-0.999084,-0.045776,0.335693,0.053406
183750,147,-0.019531,0.058167,-0.997986,-0.022888,0.030518,-0.083923
185000,148,-0.015381,0.057861,-1.000183,-0.045776,0.099182,0.152588
186250,149,-0.018555,0.057739,-1.000366,0.053406,0.198364,0.198364
187500,150,-0.014709,0.060303,-1.000305,-0.030518,0.183105,0.083923
188750,151,-0.016296,0.057251,-1.001038,0.099182,0.144958,0.152588
190000,152,-0.017883,0.058350,-1.002502,0.236511,0.129700,-0.068665
191250,153,-0.016174,0.055359,-1.000000,0.083923,0.152588,0.053406
192500,154,-0.016541,0.061340,-0.997925,0.030518,0.068665,-0.022888
193750,155,-0.017761,0.058228,-0.999634,0.007629,0.175476,0.068665
195000,156,-0.018555,0.057434,-1.001831,-0.007629,0.282288,0.106812
196250,157,-0.020874,0.060364,-1.001038,-0.099182,-0.045776,0.320435
197500,158,-0.020203,0.055420,-0.998535,0.030518,0.022888,-0.122070
198750,159,-0.019653,0.060669,-1.000000,-0.061035,-0.015259,0.221252
200000,160,-0.016418,0.057251,-0.999390,-0.045776,0.091553,-0.106812
201250,161,-0.012451,0.054871,-0.996033,0.106812,0.198364,-0.022888
202500,162,-0.015320,0.059265,-0.998596,0.129700,0.137329,0.106812
203750,163,-0.018982,0.058533,-1.002075,0.007629,0.160217,-0.106812
205000,164,-0.017578,0.057434,-1.000977,0.022888,0.053406,-0.030518
206250,165,-0.018921,0.058167,-0.997131,0.007629,-0.015259,0.038147
207500,166,-0.015076,0.057434,-1.001892,-0.106812,0.167847,-0.022888
208750,167,-0.017395,0.054321,-1.003540,0.190735,0.144958,0.000000
210000,168,-0.017273,0.057495,-0.998840,0.114441,0.167847,-0.045776
211250,169,-0.017456,0.057312,-1.001770,-0.083923,0.129700,0.038147
212500,170,-0.017090,0.060242,-0.998169,0.106812,0.152588,-0.030518
213750,171,-0.015137,0.057739,-1.000854,0.236511,0.129700,0.038147
215000,172,-0.017578,0.057739,-1.001465,0.007629,0.190735,-0.015259
216250,173,-0.015259,0.059998,-0.998962,-0.015259,0.297546,0.030518
217500,174,-0.018127,0.054443,-1.004089,0.106812,0.175476,-0.045776
218750,175,-0.014221,0.057495,-0.998291,0.129700,0.282288,0.083923
220000,176,-0.016724,0.057983,-0.999329,-0.083923,0.183105,0.068665
221250,177,-0.020752,0.060486,-1.000427,0.160217,0.198364,-0.137329
222500,178,-0.015747,0.060486,-1.002380,-0.030518,0.091553,-0.198364
223750,179,-0.016296,0.060303,-0.999695,0.122070,0.068665,0.007629
225000,180,-0.015564,0.061340,-0.997314,-0.045776,0.175476,-0.213623
226250,181,-0.016113,0.054688,-0.999756,0.015259,0.099182,-0.137329
227500,182,-0.017822,0.060974,-0.999695,0.160217,0.228882,-0.061035
228750,183,-0.014954,0.058655,-0.997009,0.000000,0.205994,0.312805
230000,184,-0.018921,0.060242,-1.005310,-0.007629,0.244141,0.083923
231250,185,-0.015808,0.057251,-1.001587,0.076294,0.183105,0.022888
232500,186,-0.019836,0.055542,-0.995911,0.030518,-0.015259,0.213623
233750,187,-0.019775,0.057373,-1.002197,0.083923,0.137329,0.000000
235000,188,-0.018433,0.058289,-0.998230,-0.144958,0.175476,-0.068665
